player_id,handle,first_name,last_name,total_games_played,most_played_agent_type,most_played_agent_name,average_kpr,average_dpr,total_kills_2024,total_multikills,total_clutches,total_first_bloods,average_headshot_ratio,average_damage_per_round,region
109699713098336501,swordd,Enrico,Bacchin,33,Controllers,Viper,0.607,0.767,406,120,2,55,0.287,40.922,EMEA
111776964942821073,pityth,Daniel,Stabilito,20,Sentinels,Killjoy,0.697,0.731,291,93,2,33,0.167,44.628,EMEA
109630575682550978,Z3RO,Macioce,Giordano Leon,33,Controllers,Brimstone,0.817,0.681,558,182,2,60,0.264,45.07,EMEA
111776969878516992,Nade,Nazareno Michele,Frasca,7,Duelists,Raze,0.664,0.761,100,23,1,29,0.18,27.171,EMEA
109630575807594608,Morphiw0w,Coppini,Enrico,28,Initiators,Skye,0.613,0.722,343,95,3,39,0.239,38.047,EMEA
109699700635082415,Braso,Matteo,Brasina,26,Controllers,Omen,0.781,0.706,448,154,2,73,0.307,50.848,EMEA
110093952136993507,RickyVaila,Riccardo,Vailati,24,Sentinels,Cypher,0.655,0.708,334,107,3,26,0.165,44.642,EMEA
111776807756054087,fraNdina,Ezio,Frandina,24,Duelists,Phoenix,0.719,0.764,365,115,1,82,0.198,46.131,EMEA
111776809287874195,xad,Kacper,Brzuchnalski,16,Initiators,Sova,0.712,0.701,233,80,3,34,0.133,42.701,EMEA
106651717992797282,Mickebwoy,Mikołaj,Chojnacki,2,Initiators,Fade,0.742,0.491,32,6,1,1,0.289,73.138,EMEA
107760858745260389,Vera,Rodman,Yap,19,Duelists,Raze,0.912,0.724,348,114,2,78,0.148,39.549,SEA
110104829044269097,WAYNE , Wayne Chang Wei Jie,Chang ,18,Controllers,Omen,0.828,0.626,307,87,5,47,0.221,44.787,"NA, SEA"
110100813734571566,Grumble,Ong Jing ,Zhou,19,Controllers,Viper,0.767,0.633,294,91,1,18,0.353,40.409,"NA, SEA"
109760351510098824,juicy,Tyler,James,18,Duelists,Yoru,0.722,0.659,273,87,0,65,0.2,49.893,"NA, SEA"
107760856553896782,STYRON,Tidus ,Goh,15,Initiators,Skye,0.726,0.567,217,71,5,25,0.267,45.212,"NA, SEA"
112557364493904300,The Doctorr,MATHANRAJ ,MUNISPARAN,15,Controllers,Omen,0.733,0.732,258,75,1,26,0.315,33.535,SEA
107760856716069164,subbey,Shamir Aliff,Bin Saifu Zaman,15,Initiators,Skye,0.596,0.746,211,63,1,19,0.187,32.734,SEA
107760850916991299,markL,Mark,Ed Lester Jabeguero Puno,15,Controllers,Viper,0.72,0.74,254,80,2,29,0.191,33.726,SEA
108284849255545501,jans0n,Chen,Joon Er,15,Sentinels,Cypher,0.605,0.742,219,64,1,26,0.255,32.91,SEA
112557378470630362,Fixy,Amirul Zaqwan,Bin Norfarulizal,15,Duelists,Raze,0.757,0.777,275,81,1,65,0.21,33.005,SEA
109669235812242351,rAb1q,Chen,Bo ting,33,Duelists,Raze,0.616,0.752,426,119,4,41,0.219,31.682,SEA
112484810504197510,SpiritZ,Ding yu,Lin,16,Duelists,Reyna,0.973,0.817,333,116,0,71,0.368,52.013,SEA
112484817816915842,B1ngXun,Bing xun,Wang,16,Controllers,Viper,0.649,0.7,219,69,3,18,0.232,39.184,SEA
111799930870784582,Weber1,Wen-Hua,Chang,23,Initiators,Skye,0.565,0.743,274,81,0,31,0.303,35.097,SEA
112484821713719536,roud1,Zhihua,Ke,16,Sentinels,Chamber,0.583,0.754,198,63,2,21,0.339,35.558,SEA
107815373900181017,Popoman4Q,JHENG SIAN,LIN,44,Controllers,Omen,0.618,0.697,566,137,2,39,0.176,41.071,SEA
109669233822782174,N11,Chou,Hao Tse,18,Initiators,Sova,0.679,0.72,249,71,3,21,0.284,38.317,SEA
112484753636921152,Ethan1,Chen Wei,Lin,18,Sentinels,Killjoy,0.659,0.738,242,79,2,31,0.267,37.956,SEA
111800183786529623,S1Mon1,Meng-Hsun,Hsieh,35,Sentinels,Cypher,0.773,0.706,572,176,4,64,0.334,48.999,SEA
111799932573063248,Nasty,Guan-Wei,Zhu,34,Duelists,Jett,0.912,0.738,637,220,3,146,0.299,49.552,SEA
107779400190452967,NicoMachine,Nicolás,Valladares,59,Initiators,Skye,0.671,0.684,822,231,2,116,0.227,46.022,"LAN, LAS"
109862190324414565,tinchoff,Martin Alejandro,Garcia,59,Sentinels,Killjoy,0.655,0.59,799,258,11,88,0.278,41.884,"LAN, LAS"
106489997517407761,adverso,Benjamin ,Poblete,59,Controllers,Viper,0.722,0.663,879,255,2,132,0.171,46.476,"LAN, LAS"
111918149356786625,Dantedeu5,Jesus Federico,Larrosa,59,Duelists,Raze,0.885,0.719,1085,383,4,225,0.267,54.783,"LAN, LAS"
106489960588133889,Cebando,Ezequiel ,Diaz Ramos,59,Controllers,Astra,0.694,0.632,847,265,4,105,0.37,42.762,"LAN, LAS"
112438519883599010,chubizin,Martin,Ferres,9,Initiators,Skye,0.572,0.759,107,28,1,13,0.22,30.514,LATAM
111918157412264570,Rco,Santino Roman,Bustamante,17,Duelists,Raze,0.749,0.761,268,87,1,41,0.25,42.319,LATAM
106490066236556847,sh0twell,Javier,Rivera,11,Duelists,Raze,0.733,0.698,175,53,0,32,0.218,40.004,LATAM
107722251113120419,HANLING,Maximiliano,De Michele,21,Initiators,Skye,0.626,0.734,284,74,4,18,0.289,49.07,LATAM
108376453959868209,Neto,Federico,Neto,20,Sentinels,Chamber,0.732,0.734,315,103,2,65,0.179,52.359,LATAM
111895492577396634,lzz,Luiz Gustavo,Pereira Reche,55,Controllers,Omen,0.658,0.678,752,221,9,93,0.336,35.457,BR
111895452162666394,pryze,Luis Henrique,Domiciano De Viveiros,55,Initiators,Fade,0.638,0.656,742,226,9,63,0.263,44.663,BR
111895472658919337,spike1,Rodrigo,Bifulco Lombardi,55,Controllers,Viper,0.783,0.699,900,317,0,132,0.239,43.574,BR
111895447782217193,zap,Brenno Roberto ,Pilicério Ferreira,55,Sentinels,Killjoy,0.652,0.662,762,231,10,102,0.199,45.307,BR
106116500399695445,silentzz,Caio ,Morita,55,Duelists,Raze,0.835,0.758,976,327,1,220,0.274,47.301,BR
106116439896241774,ntk,Lucas,Martins,39,Initiators,Sova,0.636,0.766,513,166,3,81,0.17,41.111,BR
108844355394424485,forbanz,Itlhallo,de Paula,41,Duelists,Jett,0.76,0.777,647,191,2,117,0.266,45.629,BR
111895361000451969,kenkay,Gustavo,Fonseca Fernandes,41,Controllers,Viper,0.685,0.752,589,164,4,73,0.286,44.262,BR
111895357367529341,maestr0,Yann Erick,Caixeta de Melo,41,Sentinels,Sage,0.709,0.763,606,190,4,63,0.238,46.866,BR
109861947574539003,Woddyz,Gabriel Julian,Cressoni,41,Sentinels,Killjoy,0.631,0.702,546,154,2,57,0.254,40.437,BR
107042217874918990,VTaguT,Rui ,Ribeiro,24,Controllers,Viper,0.755,0.615,365,101,3,41,0.3,36.986,"EMEA, SEA"
111702919120632732,silentj,Nuno,Rodrigues,48,Sentinels,Cypher,0.733,0.628,693,224,3,82,0.214,42.801,EMEA
107723775567381623,Phatt,Alexandre,Fernandes Silva,48,Initiators,Breach,0.61,0.604,571,153,1,42,0.262,32.125,"EMEA, SEA"
107042218395892870,KILLDREAMST,JOÃO ,FERREIRA,48,Controllers,Omen,0.894,0.691,830,286,7,174,0.254,52.072,"EMEA, SEA"
109642057691924203,GrTw,,14VK,46,Sentinels,Killjoy,0.832,0.605,753,244,5,92,0.191,47.565,"EMEA, SEA"
109642058238535401,brk,,14VK,44,Duelists,Jett,0.919,0.666,793,271,1,218,0.184,55.845,EMEA
107723772260886815,k1zpawn,Ian,Rebelo,22,Sentinels,Killjoy,0.703,0.587,312,88,3,35,0.182,48.213,EMEA
109642061824796407,Cunha20,David,Cunha,44,Controllers,Omen,0.759,0.572,662,196,6,52,0.272,46.265,EMEA
109642060984297203,Fragger,Henrique,Correia,44,Initiators,KAY/O,0.795,0.655,682,228,4,91,0.265,47.247,EMEA
107742457930562464,Addicted,Eduardo,Torres,44,Initiators,Sova,0.761,0.558,655,209,5,78,0.198,44.573,BR
112088142574563995,Cohburg,Colby,Lance Hannah,34,Controllers,Omen,0.631,0.717,460,148,4,65,0.19,37.17,NA
112097236430668342,furbsa,Hunter,Mcmillan,15,Sentinels,Cypher,0.816,0.732,268,85,1,36,0.485,44.573,NA
112088131023810894,Dark3st,Michael,Herrera,34,Initiators,Breach,0.702,0.706,512,156,2,63,0.193,32.754,NA
112088150987321704,scarn1,Matthew,Thomas Labuda,34,Duelists,Raze,0.723,0.801,530,171,0,118,0.282,42.374,NA
112517180460813741,dip,Braden,Dippel,19,Initiators,Sova,0.625,0.682,259,78,3,26,0.19,39.875,NA
109782804123185353,sym,Tyler,Porter,44,Duelists,Jett,0.787,0.794,752,236,3,221,0.3,40.321,NA
106525512630665274,gMd,Anthony,Guimond,44,Controllers,Viper,0.73,0.722,701,223,3,79,0.276,42.322,NA
106525534284869460,POISED,Kevin ,Ngo,44,Initiators,Sova,0.626,0.689,604,183,4,65,0.244,42.577,NA
106660449679107671,aproto,Alex,Protopapas,43,Sentinels,Cypher,0.645,0.681,605,178,8,43,0.308,35.385,NA
107079899399558907,seven,Johann,Hernandez,44,Initiators,KAY/O,0.733,0.691,702,203,5,75,0.226,42.045,NA
110095404511817771,Aeonyx,Clarence Lui,Vargas,44,Sentinels,Sage,0.667,0.704,608,191,6,88,0.24,44.441,SEA
109743103583349998,FallX,Pascual,Paul Vincent,43,Duelists,Jett,0.832,0.762,726,247,5,155,0.362,51.704,SEA
109743103194634217,Owen q t,Fillarca,Lawrenz,44,Controllers,Viper,0.694,0.702,626,188,1,84,0.213,41.248,SEA
111919330384844315,DizzyFps,Wilbur john,Labador,41,Initiators,Sova,0.719,0.684,600,198,4,69,0.308,44.029,SEA
111919330470270854,Dignified,Kenneth James,Arances,40,Initiators,KAY/O,0.716,0.694,583,183,3,50,0.345,41.283,SEA
111917957102659839,Gabo,Gabriel William,Carticiano,24,Sentinels,Killjoy,0.607,0.749,305,91,6,39,0.262,44.884,SEA
111979469329060879,rkz,Zach Anthony,Arquiza,17,Controllers,Omen,0.709,0.721,249,85,5,19,0.245,48.755,SEA
109743101818855436,EugeneS,Serrano,Eugene Andrei,22,Duelists,Raze,0.696,0.834,314,101,0,72,0.23,43.472,SEA
111917954944100596,Tr1x,Trixtan Dwayne,Viray,22,Initiators,Fade,0.545,0.768,242,62,2,29,0.245,33.566,SEA
111917956055853306,Seif,Seif Bilal Yacoub,Abu El Filat,22,Initiators,Gekko,0.71,0.743,320,111,4,31,0.319,47.08,SEA
111895569339789493,blowz,Jose Guilherme,Oliveira de Arruda,45,Initiators,Gekko,0.86,0.712,787,267,5,144,0.271,52.438,BR
112362594017886558,ghoul33,Guilherme,da Silva Aarão Carneiro,28,Duelists,Raze,0.909,0.767,512,169,1,105,0.381,57.081,BR
109632270006163170,prince1,Lorran,Ferreira,55,Sentinels,Cypher,0.692,0.648,785,217,9,90,0.234,44.557,BR
107742642625369605,Pollo,Julio,Bernardes,45,Sentinels,Cypher,0.729,0.667,680,214,6,85,0.284,47.61,BR
106116518875772631,shion,Gabriel,Vilela,45,Initiators,KAY/O,0.639,0.676,597,186,7,61,0.22,43.021,BR
108844339857245737,askia,Estevão ,Ferreira,56,Initiators,Gekko,0.618,0.632,728,223,9,60,0.221,35.768,BR
107742457169499616,dgzin,Douglas,Silva,56,Duelists,Raze,0.876,0.733,1018,355,2,232,0.277,49.935,BR
108844317400583838,GuhRVN,Gustavo,Rodrigues Ferreira,56,Controllers,Brimstone,0.652,0.658,771,247,7,92,0.279,40.33,BR
108844315846135449,pancc,Filipe,Martins Doria Paulo,56,Controllers,Viper,0.735,0.687,851,258,5,141,0.163,47.876,BR
108058714774620867,raafa,Silva,Rafael,56,Initiators,Skye,0.606,0.681,703,202,3,74,0.228,36.802,BR
112484840999423882,Zhan,Cheng Jhan,Wang,11,Controllers,Omen,0.788,0.736,192,57,3,19,0.297,46.845,SEA
110094785405599763,Queya,Cheng han,Liu,25,Initiators,Sova,0.571,0.763,304,84,1,33,0.271,34.893,SEA
111800107248654533,XiaoFeng,Cheng-Feng,Xie,23,Sentinels,Killjoy,0.675,0.82,326,112,0,68,0.223,41.663,SEA
112484842155529614,Awei,Jia Wei,Feng,10,Sentinels,Cypher,0.743,0.748,170,45,2,21,0.119,36.625,SEA
109669235689206467,yZkA1,YE,ZHEN KAI,11,Initiators,Breach,0.701,0.839,170,54,0,20,0.247,36.331,SEA
111800072340009917,Yoyoman,Yu-Lun,Zhang,30,Duelists,Raze,0.629,0.759,407,130,1,46,0.238,37.934,SEA
110094789466697218,Unhappy,Wen wei,Liao,10,Sentinels,Cypher,0.782,0.657,174,46,0,19,0.285,49.958,SEA
112484795422447174,Tsanyu,Tsan Yu,Yu,10,Duelists,Jett,0.839,0.729,189,58,0,27,0.237,56.006,SEA
111800070528816662,Dizzy,Yi-Feng,Lin,30,Initiators,Sova,0.657,0.714,413,122,2,57,0.25,41.573,SEA
111800061362886150,GunterR,Chu-Ping,Tseng,30,Controllers,Viper,0.682,0.707,430,146,5,57,0.225,40.202,SEA
111935859593135217,Impact1,Sunghyun,Park,25,Initiators,Gekko,0.731,0.759,409,131,0,83,0.243,42.833,KR
108290337682741039,BENECIA,Jinhan,Kim,53,Controllers,Omen,0.699,0.659,802,273,5,76,0.238,47.063,KR
110054599966175758,JaebiN,JAEBIN,LEE,53,Duelists,Raze,0.808,0.725,938,301,3,194,0.185,43.329,KR
110054569847770786,Aru,Jaejun,Yang,30,Initiators,Fade,0.54,0.709,355,99,3,36,0.239,33.925,KR
111935865345523657,RedLight,Eunsu,Kim,40,Initiators,KAY/O,0.685,0.669,605,182,5,70,0.191,44.825,KR
110054527110646339,Rap1d,Min Jae,Kim,22,Controllers,Viper,0.662,0.68,316,98,2,28,0.119,33.134,KR
111935972806475946,Xross,Hwan,Jung,58,Controllers,Astra,0.764,0.627,947,314,6,114,0.18,49.853,KR
109716301124936931,yoman,Chae,Youngmun,58,Initiators,KAY/O,0.706,0.629,873,274,7,105,0.222,50.746,KR
111379743017133367,Pkm,Kangmin,Park,58,Duelists,Iso,0.811,0.724,1012,324,3,230,0.269,47.383,KR
106535381461652569,BaeYohan,Yohan,Bae,26,Controllers,Omen,0.681,0.711,385,133,1,55,0.308,41.685,KR
108430035826370224,Kohli,Pranav ,Kohli,52,Initiators,Sova,0.667,0.68,708,221,4,64,0.23,49.234,INTL
107760839000645716,adrnking,Muhammad,Setiawan,52,Sentinels,Killjoy,0.775,0.668,825,268,7,87,0.287,50.791,INTL
109981300029718398,Hoax,Aman,Yadav,52,Sentinels,Sage,0.643,0.629,685,177,4,68,0.185,41.656,INTL
110020988152935004,venka2cold,Venkatesh ,Sharma,50,Initiators,Gekko,0.821,0.787,843,284,1,206,0.336,49.604,INTL
107760840167901188,sayoo,WILLY,IVANDRA,52,Controllers,Viper,0.758,0.69,806,246,6,135,0.245,51.031,INTL
107019803860859323,skillZ,Jayanth,Ramesh,51,Sentinels,Cypher,0.659,0.625,672,198,3,75,0.232,39.174,INTL
106668428651886267,severiNe,Michael,Winata,66,Initiators,KAY/O,0.685,0.68,922,285,4,120,0.228,41.672,INTL
110264830052356047,Paradox ,Kasif Khwaja ,Sayyed,53,Initiators,Gekko,0.717,0.637,762,234,3,104,0.253,39.568,INTL
110258755073596938,dos9,Dastan,Zhumagali,53,Duelists,Jett,0.902,0.653,957,342,6,172,0.231,52.466,INTL
